fold,accuracy,precision,recall,roc_auc
0,0.7586206896551724,0.6842105263157895,0.9285714285714286,0.9571428571428572
1,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9666666666666668
2,0.7241379310344828,0.875,0.5,0.7476190476190476
3,0.7241379310344828,0.7142857142857143,0.7142857142857143,0.8333333333333334
4,0.8275862068965517,0.8571428571428571,0.8,0.8523809523809524
None,0.7793103448275861,0.7975563909774437,0.76,0.8714285714285716
None,0.05602785106645489,0.08109241285249691,0.1477449539868331,0.08192690730516791
0,0.7586206896551724,0.6842105263157895,0.9285714285714286,0.9571428571428572
1,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9666666666666668
2,0.7241379310344828,0.875,0.5,0.7476190476190476
3,0.7241379310344828,0.7142857142857143,0.7142857142857143,0.8333333333333334
4,0.8275862068965517,0.8571428571428571,0.8,0.8523809523809524
None,0.7793103448275861,0.7975563909774437,0.76,0.8714285714285716
None,0.05602785106645489,0.08109241285249691,0.1477449539868331,0.08192690730516791
