fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8125,0.9285714285714286,0.9619047619047619
1,0.896551724137931,1.0,0.7857142857142857,0.9619047619047619
2,0.6896551724137931,1.0,0.35714285714285715,0.8333333333333333
3,0.8275862068965517,0.8461538461538461,0.7857142857142857,0.8285714285714286
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8761904761904762
None,0.8206896551724137,0.9150641025641025,0.7180952380952381,0.8923809523809524
None,0.07033130363576254,0.07706983862898954,0.191814347128082,0.059139713128609626
0,0.8620689655172413,0.8125,0.9285714285714286,0.9619047619047619
1,0.896551724137931,1.0,0.7857142857142857,0.9619047619047619
2,0.6896551724137931,1.0,0.35714285714285715,0.8333333333333333
3,0.8275862068965517,0.8461538461538461,0.7857142857142857,0.8285714285714286
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8761904761904762
None,0.8206896551724137,0.9150641025641025,0.7180952380952381,0.8923809523809524
None,0.07033130363576254,0.07706983862898954,0.191814347128082,0.059139713128609626
